,city,country,lat,lng,rank,country code,genre,top_genres,scale_rank,market_importance
389,caulfield south victoria,australia,-38.0996,145.2834,755,AU,australian hiphop,5,0.710852378,3.55426189
1688,rhodes new south wales,australia,-31.445,152.9187,1764,AU,"australian hiphop, australian underground hiphop",10,0.354755678,3.547556779
424,chicoutimi,canada,48.4333,-71.0667,1952,CA,"hiphop quebecois, french hiphop",12,0.293469519,3.521634233
484,corona new york,united states,40.6943,-73.9249,1102,US,"southern hiphop, hiphop",6,0.583911375,3.503468251
1783,san bernardino california,united states,34.1412,-117.2936,817,US,"hiphop, southern hiphop",5,0.687870462,3.439352308
358,cannock,united kingdom,51.0167,-1.3167,1690,GB,uk hiphop,9,0.379390876,3.414517888
803,hamilton queensland,australia,-37.7312,142.0234,1903,AU,"australian underground hiphop, australian hiphop",11,0.30925469,3.401801587
304,bulimba queensland,australia,-16.8878,145.7633,1812,AU,"australian hiphop, australian underground hiphop",10,0.338926063,3.389260627
1963,surbiton,united kingdom,51.0167,-1.3167,1815,GB,uk hiphop,10,0.337940733,3.379407331
2222,warrington,united kingdom,53.3833,-2.6,1162,GB,uk hiphop,6,0.562396463,3.374378779
591,east malvern victoria,australia,34.3689,-92.8187,1819,AU,"australian underground hiphop, australian hiphop",10,0.336627705,3.36627705
2243,wigan,united kingdom,53.5333,-2.6167,863,GB,uk hiphop,5,0.670901453,3.354507265
1359,mount waverley victoria,australia,-28.0662,117.8167,1823,AU,"australian underground hiphop, australian hiphop",10,0.33531553,3.3531553
70,andover,united kingdom,45.2571,-93.3265,1717,GB,uk hiphop,9,0.370370487,3.333334379
955,jamaica new york,united states,40.6943,-73.9249,1412,US,"hiphop, southern hiphop",7,0.474260407,3.319822849
418,chester,united kingdom,53.2,-2.92,1196,GB,uk hiphop,6,0.550264973,3.301589836
1319,mitcham,united kingdom,51.0167,-1.3167,1861,GB,uk hiphop,10,0.322892843,3.228928426
1950,stroud,united kingdom,51.0167,-1.3167,1755,GB,uk hiphop,9,0.357737045,3.219633402
584,dunstable,united kingdom,51.0167,-1.3167,2155,GB,"uk alternative hiphop, uk hiphop",14,0.229629582,3.214814147
401,chambly,canada,48.4462,-89.275,1871,CA,hiphop quebecois,10,0.319636789,3.196367888
1828,santa rosa california,united states,38.4465,-122.706,950,US,southern hiphop,5,0.639003661,3.195018306
796,halifax,united kingdom,53.7167,-1.85,1765,GB,uk hiphop,9,0.354424672,3.189822047
2228,waterlooville,united kingdom,51.0167,-1.3167,1767,GB,uk hiphop,9,0.353762814,3.18386533
2134,vancouver washington,united states,38.9047,-77.0163,530,US,underground hiphop,4,0.79528143,3.18112572
1864,seven hills new south wales,australia,-31.445,152.9187,1474,AU,"australian hiphop, australian underground hiphop",7,0.452801283,3.16960898
1691,richmond,canada,37.5295,-77.4756,538,CA,canadian hiphop,4,0.792252749,3.169010996
419,chesterfield,united kingdom,38.6588,-90.5805,1778,GB,uk hiphop,9,0.350126294,3.151136642
1227,maidenhead,united kingdom,51.5167,-0.7,1888,GB,uk hiphop,10,0.314114183,3.141141831
383,castle hill new south wales,australia,-31.445,152.9187,1785,AU,"australian underground hiphop, australian hiphop",9,0.347815413,3.130338718
1932,stafford,united kingdom,52.8,-2.1,1787,GB,uk hiphop,9,0.34715563,3.124400674
860,hobart tasmania,australia,-42.85,147.295,993,AU,australian hiphop,5,0.623334756,3.116673778
1409,newtown new south wales,australia,-31.445,152.9187,995,AU,australian hiphop,5,0.622607552,3.11303776
1673,redditch,united kingdom,51.0167,-1.3167,1904,GB,uk hiphop,10,0.308931173,3.089311734
701,gateshead,united kingdom,54.945,-1.6175,1302,GB,uk hiphop,6,0.512731391,3.076388343
164,barrow in furness,united kingdom,23.6939,5.1647,1809,GB,uk hiphop,9,0.33991187,3.059206829
819,hattiesburg mississippi,united states,31.3072,-89.3168,1316,US,southern hiphop,6,0.507807493,3.046844956
1300,metairie louisiana,united states,30.2233,-92.6582,1038,US,southern hiphop,5,0.607007091,3.035035455
1498,orpington,united kingdom,51.0167,-1.3167,1926,GB,uk hiphop,10,0.301828167,3.01828167
594,eastwood new south wales,australia,-31.445,152.9187,1697,AU,"australian hiphop, australian underground hiphop",8,0.377048788,3.016390301
2251,windsor,united kingdom,51.5167,-0.7,1927,GB,uk hiphop,10,0.301505959,3.015059592
208,bexleyheath,united kingdom,51.45,0.15,1938,GB,uk hiphop,10,0.297965469,2.979654694
499,cricklewood,united kingdom,51.0167,-1.3167,1939,GB,uk hiphop,10,0.297643953,2.976439528
187,bentley western australia,australia,-29.2828,114.9166,2026,AU,"australian underground hiphop, australian hiphop",11,0.269898295,2.968881243
668,footscray victoria,australia,-38.0996,145.2834,1844,AU,"australian hiphop, australian underground hiphop",9,0.328440695,2.955966253
448,cleveland ohio,united states,30.3368,-95.0924,43,US,southern hiphop,3,0.983105909,2.949317727
570,drummondville,canada,45.8833,-72.4834,1745,CA,hiphop quebecois,8,0.361054537,2.888436297
991,kansas city missouri,united states,39.1239,-94.5541,103,US,southern hiphop,3,0.959613515,2.878840545
366,carlisle,united kingdom,54.88,-2.93,1400,GB,uk hiphop,6,0.478432778,2.870596667
1925,st louis missouri,united states,29.5635,-95.5377,164,US,southern hiphop,3,0.935827461,2.807482382
1672,redbank queensland,australia,-16.8878,145.7633,1632,AU,"australian hiphop, australian underground hiphop",7,0.398888642,2.792220491
1440,north shields,united kingdom,54.9878,-1.4214,1444,GB,uk hiphop,6,0.463164049,2.778984294
1697,ridgeland mississippi,united states,32.4236,-90.1481,1639,US,southern hiphop,7,0.396526858,2.775688009
1029,kingston,canada,44.2337,-76.4833,820,CA,canadian hiphop,4,0.686761639,2.747046556
1297,mesquite texas,united states,32.7622,-96.5889,245,US,southern hiphop,3,0.90439808,2.713194239
1695,richmond virginia,united states,37.5295,-77.4756,274,US,southern hiphop,3,0.893189372,2.679568117
1324,modesto california,united states,40.0692,-79.9152,876,US,southern hiphop,4,0.666118723,2.66447489
1404,newcastle upon tyne,united kingdom,55.0004,-1.6,292,GB,uk hiphop,3,0.886243998,2.658731994
2169,victoriaville,canada,46.0504,-71.9667,2048,CA,hiphop quebecois,10,0.262955015,2.629550154
598,edgware,united kingdom,51.0167,-1.3167,2054,GB,uk hiphop,10,0.261066652,2.610666515
254,boucherville,canada,48.4462,-89.275,1985,CA,hiphop quebecois,9,0.282917442,2.546256974
446,clayton victoria,australia,-38.0996,145.2834,1558,AU,australian hiphop,6,0.423996997,2.543981981
1180,long beach california,united states,40.5887,-73.666,393,US,hiphop,3,0.847442144,2.542326432
1965,surry hills new south wales,australia,-31.445,152.9187,409,AU,australian hiphop,3,0.841322056,2.523966167
